ProteinId:ID(Protein),EntryName,FullName,:LABEL
P51659,DHB4_HUMAN,Peroxisomal multifunctional enzyme type 2,Protein
Q86SQ9,DHDDS_HUMAN,Dehydrodolichyl diphosphate synthase complex subunit DHDDS,Protein
Q9BPX1,DHB14_HUMAN,17-beta-hydroxysteroid dehydrogenase 14,Protein
Q9UQ10,DHDH_HUMAN,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",Protein
P14061,DHB1_HUMAN,17-beta-hydroxysteroid dehydrogenase type 1,Protein
Q8NBQ5,DHB11_HUMAN,Estradiol 17-beta-dehydrogenase 11,Protein
P56937,DHB7_HUMAN,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,Protein
P37059,DHB2_HUMAN,17-beta-hydroxysteroid dehydrogenase type 2,Protein
Q9UBM7,DHCR7_HUMAN,7-dehydrocholesterol reductase,Protein
Q53GQ0,DHB12_HUMAN,Very-long-chain 3-oxoacyl-CoA reductase,Protein
P37058,DHB3_HUMAN,17-beta-hydroxysteroid dehydrogenase type 3,Protein
Q92506,DHB8_HUMAN,(3R)-3-hydroxyacyl-CoA dehydrogenase,Protein
P49448,DHE4_HUMAN,"Glutamate dehydrogenase 2, mitochondrial",Protein
Q7Z5J1,DHI1L_HUMAN,Hydroxysteroid 11-beta-dehydrogenase 1-like protein,Protein
P00367,DHE3_HUMAN,"Glutamate dehydrogenase 1, mitochondrial",Protein
P28845,DHI1_HUMAN,11-beta-hydroxysteroid dehydrogenase 1,Protein
O43323,DHH_HUMAN,Desert hedgehog protein,Protein
P09417,DHPR_HUMAN,Dihydropteridine reductase,Protein
P80365,DHI2_HUMAN,11-beta-hydroxysteroid dehydrogenase type 2,Protein
Q9BUT1,DHRS6_HUMAN,Dehydrogenase/reductase SDR family member 6,Protein
Q6UWP2,DHR11_HUMAN,Dehydrogenase/reductase SDR family member 11,Protein
Q96LJ7,DHRS1_HUMAN,Dehydrogenase/reductase SDR family member 1,Protein
A0PJE2,DHR12_HUMAN,Dehydrogenase/reductase SDR family member 12,Protein
Q13268,DHRS2_HUMAN,"Dehydrogenase/reductase SDR family member 2, mitochondrial",Protein
Q6UX07,DHR13_HUMAN,Dehydrogenase/reductase SDR family member 13,Protein
O75911,DHRS3_HUMAN,Short-chain dehydrogenase/reductase 3,Protein
Q9Y394,DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7,Protein
O43143,DHX15_HUMAN,ATP-dependent RNA helicase DHX15,Protein
Q9H6R0,DHX33_HUMAN,ATP-dependent RNA helicase DHX33,Protein
Q9BPW9,DHRS9_HUMAN,Dehydrogenase/reductase SDR family member 9,Protein
Q96C10,DHX58_HUMAN,ATP-dependent RNA helicase DHX58,Protein
O14521,DHSD_HUMAN,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",Protein
Q9BTZ2,DHRS4_HUMAN,Dehydrogenase/reductase SDR family member 4,Protein
Q8N5I4,DHRSX_HUMAN,Dehydrogenase/reductase SDR family member on chromosome X,Protein
Q96HY7,DHTK1_HUMAN,2-oxoadipate dehydrogenase complex component E1,Protein
Q14147,DHX34_HUMAN,Probable ATP-dependent RNA helicase DHX34,Protein
Q00796,DHSO_HUMAN,Sorbitol dehydrogenase,Protein
Q9H5Z1,DHX35_HUMAN,Probable ATP-dependent RNA helicase DHX35,Protein
Q14562,DHX8_HUMAN,ATP-dependent RNA helicase DHX8,Protein
O60231,DHX16_HUMAN,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,Protein
P49366,DHYS_HUMAN,Deoxyhypusine synthase,Protein
Q8IYB7,DI3L2_HUMAN,DIS3-like exonuclease 2,Protein
Q7Z478,DHX29_HUMAN,ATP-dependent RNA helicase DHX29,Protein
Q9H2U1,DHX36_HUMAN,ATP-dependent DNA/RNA helicase DHX36,Protein
Q8TF46,DI3L1_HUMAN,DIS3-like exonuclease 1,Protein
Q7L2E3,DHX30_HUMAN,ATP-dependent RNA helicase DHX30,Protein
Q01459,DIAC_HUMAN,Di-N-acetylchitobiase,Protein
O60610,DIAP1_HUMAN,Protein diaphanous homolog 1,Protein
Q08211,DHX9_HUMAN,ATP-dependent RNA helicase A,Protein
Q7L7V1,DHX32_HUMAN,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32,Protein
Q8IY37,DHX37_HUMAN,Probable ATP-dependent RNA helicase DHX37,Protein
Q8IX18,DHX40_HUMAN,Probable ATP-dependent RNA helicase DHX40,Protein
Q9H7Y0,DIK2B_HUMAN,Divergent protein kinase domain 2B,Protein
Q9UPY3,DICER_HUMAN,Endoribonuclease Dicer,Protein
Q9BTC0,DIDO1_HUMAN,Death-inducer obliterator 1,Protein
Q5T7M9,DIK1A_HUMAN,Divergent protein kinase domain 1A,Protein
O60879,DIAP2_HUMAN,Protein diaphanous homolog 2,Protein
Q6P158,DHX57_HUMAN,Putative ATP-dependent RNA helicase DHX57,Protein
Q5VUD6,DIK1B_HUMAN,Divergent protein kinase domain 1B,Protein
Q9UBX3,DIC_HUMAN,Mitochondrial dicarboxylate carrier,Protein
Q9NSV4,DIAP3_HUMAN,Protein diaphanous homolog 3,Protein
Q0P6D2,DIK1C_HUMAN,Divergent protein kinase domain 1C,Protein
Q96MH6,DIESL_HUMAN,DGAT1/2-independent enzyme synthesizing storage lipids,Protein
Q8NDZ4,DIK2A_HUMAN,Divergent protein kinase domain 2A,Protein
Q9UNQ2,DIM1_HUMAN,Dimethyladenosine transferase,Protein
O95057,DIRA1_HUMAN,GTP-binding protein Di-Ras1,Protein
Q96HU8,DIRA2_HUMAN,GTP-binding protein Di-Ras2,Protein
Q14689,DIP2A_HUMAN,Disco-interacting protein 2 homolog A,Protein
O95661,DIRA3_HUMAN,GTP-binding protein Di-Ras3,Protein
Q96F81,DISP1_HUMAN,Protein dispatched homolog 1,Protein
Q969H9,DIRC1_HUMAN,Disrupted in renal carcinoma protein 1,Protein
Q9P265,DIP2B_HUMAN,Disco-interacting protein 2 homolog B,Protein
Q96SL1,DIRC2_HUMAN,Solute carrier family 49 member 4,Protein
A7MBM2,DISP2_HUMAN,Protein dispatched homolog 2,Protein
Q9Y2E4,DIP2C_HUMAN,Disco-interacting protein 2 homolog C,Protein
Q9NXW2,DJB12_HUMAN,DnaJ homolog subfamily B member 12,Protein
Q9P2K9,DISP3_HUMAN,Protein dispatched homolog 3,Protein
P59910,DJB13_HUMAN,DnaJ homolog subfamily B member 13,Protein
Q9UKB3,DJC12_HUMAN,DnaJ homolog subfamily C member 12,Protein
Q9NVM6,DJC17_HUMAN,DnaJ homolog subfamily C member 17,Protein
Q9NRI5,DISC1_HUMAN,Disrupted in schizophrenia 1 protein,Protein
Q8TBM8,DJB14_HUMAN,DnaJ homolog subfamily B member 14,Protein
Q6P3W2,DJC24_HUMAN,DnaJ homolog subfamily C member 24,Protein
Q155Q3,DIXC1_HUMAN,Dixin,Protein
O75165,DJC13_HUMAN,DnaJ homolog subfamily C member 13,Protein
Q9H819,DJC18_HUMAN,DnaJ homolog subfamily C member 18,Protein
Q9H1X3,DJC25_HUMAN,DnaJ homolog subfamily C member 25,Protein
Q6Y2X3,DJC14_HUMAN,DnaJ homolog subfamily C member 14,Protein
Q8IXB1,DJC10_HUMAN,DnaJ homolog subfamily C member 10,Protein
Q5F1R6,DJC21_HUMAN,DnaJ homolog subfamily C member 21,Protein
Q9UBU2,DKK2_HUMAN,Dickkopf-related protein 2,Protein
Q9NZQ0,DJC27_HUMAN,DnaJ homolog subfamily C member 27,Protein
Q9Y5T4,DJC15_HUMAN,DnaJ homolog subfamily C member 15,Protein
Q9UBS4,DJB11_HUMAN,DnaJ homolog subfamily B member 11,Protein
Q8N4W6,DJC22_HUMAN,DnaJ homolog subfamily C member 22,Protein
Q9UBP4,DKK3_HUMAN,Dickkopf-related protein 3,Protein
Q9NVH1,DJC11_HUMAN,DnaJ homolog subfamily C member 11,Protein
Q9NX36,DJC28_HUMAN,DnaJ homolog subfamily C member 28,Protein
Q9Y2G8,DJC16_HUMAN,DnaJ homolog subfamily C member 16,Protein
Q9UBT3,DKK4_HUMAN,Dickkopf-related protein 4,Protein
Q96LL9,DJC30_HUMAN,"DnaJ homolog subfamily C member 30, mitochondrial",Protein
Q9UK85,DKKL1_HUMAN,Dickkopf-like protein 1,Protein
O60832,DKC1_HUMAN,H/ACA ribonucleoprotein complex subunit DKC1,Protein
Q15700,DLG2_HUMAN,Disks large homolog 2,Protein
O94907,DKK1_HUMAN,Dickkopf-related protein 1,Protein
P09622,DLDH_HUMAN,"Dihydrolipoyl dehydrogenase, mitochondrial",Protein
Q9P1A6,DLGP2_HUMAN,Disks large-associated protein 2,Protein
O95886,DLGP3_HUMAN,Disks large-associated protein 3,Protein
Q9Y238,DLEC1_HUMAN,Deleted in lung and esophageal cancer protein 1,Protein
Q92796,DLG3_HUMAN,Disks large homolog 3,Protein
Q9NYJ7,DLL3_HUMAN,Delta-like protein 3,Protein
Q8TF09,DLRB2_HUMAN,Dynein light chain roadblock-type 2,Protein
P80370,DLK1_HUMAN,Protein delta homolog 1,Protein
Q86YH6,DLP1_HUMAN,All trans-polyprenyl-diphosphate synthase PDSS2,Protein
O14490,DLGP1_HUMAN,Disks large-associated protein 1,Protein
Q9Y2H0,DLGP4_HUMAN,Disks large-associated protein 4,Protein
Q9NR61,DLL4_HUMAN,Delta-like protein 4,Protein
Q6UY11,DLK2_HUMAN,Protein delta homolog 2,Protein
P78352,DLG4_HUMAN,Disks large homolog 4,Protein
Q15398,DLGP5_HUMAN,Disks large-associated protein 5,Protein
Q12959,DLG1_HUMAN,Disks large homolog 1,Protein
Q9NP97,DLRB1_HUMAN,Dynein light chain roadblock-type 1,Protein
O00548,DLL1_HUMAN,Delta-like protein 1,Protein
Q8TDM6,DLG5_HUMAN,Disks large homolog 5,Protein
Q92988,DLX4_HUMAN,Homeobox protein DLX-4,Protein
P56177,DLX1_HUMAN,Homeobox protein DLX-1,Protein
P56178,DLX5_HUMAN,Homeobox protein DLX-5,Protein
Q9NPF5,DMAP1_HUMAN,DNA methyltransferase 1-associated protein 1,Protein
Q07687,DLX2_HUMAN,Homeobox protein DLX-2,Protein
P28067,DMA_HUMAN,"HLA class II histocompatibility antigen, DM alpha chain",Protein
Q96GE9,DMAC1_HUMAN,Distal membrane-arm assembly complex protein 1,Protein
P56179,DLX6_HUMAN,Homeobox protein DLX-6,Protein
Q8NFW5,DMBX1_HUMAN,Diencephalon/mesencephalon homeobox protein 1,Protein
O60479,DLX3_HUMAN,Homeobox protein DLX-3,Protein
Q9NW81,DMAC2_HUMAN,Distal membrane-arm assembly complex protein 2,Protein
P28068,DMB_HUMAN,"HLA class II histocompatibility antigen, DM beta chain",Protein
P11532,DMD_HUMAN,Dystrophin,Protein
Q9UGM3,DMBT1_HUMAN,Deleted in malignant brain tumors 1 protein,Protein
Q13316,DMP1_HUMAN,Dentin matrix acidic phosphoprotein 1,Protein
Q9Y5R5,DMRT2_HUMAN,Doublesex- and mab-3-related transcription factor 2,Protein
Q09013,DMPK_HUMAN,Myotonin-protein kinase,Protein
Q14565,DMC1_HUMAN,Meiotic recombination protein DMC1/LIM15 homolog,Protein
Q6PK57,DMP34_HUMAN,Putative GED domain-containing protein DNM1P34,Protein
Q9NQL9,DMRT3_HUMAN,Doublesex- and mab-3-related transcription factor 3,Protein
Q6ZS02,DMP46_HUMAN,Putative GED domain-containing protein DNM1P46,Protein
Q9Y5R6,DMRT1_HUMAN,Doublesex- and mab-3-related transcription factor 1,Protein
Q5VZB9,DMRTA_HUMAN,Doublesex- and mab-3-related transcription factor A1,Protein
Q96SC8,DMTA2_HUMAN,Doublesex- and mab-3-related transcription factor A2,Protein
Q96MA1,DMRTB_HUMAN,Doublesex- and mab-3-related transcription factor B1,Protein
Q5HYR2,DMRTC_HUMAN,Doublesex- and mab-3-related transcription factor C1,Protein
Q9Y485,DMXL1_HUMAN,DmX-like protein 1,Protein
Q9Y222,DMTF1_HUMAN,Cyclin-D-binding Myb-like transcription factor 1,Protein
Q6E0U4,DMKN_HUMAN,Dermokine,Protein
Q8IXT2,DMRTD_HUMAN,Doublesex- and mab-3-related transcription factor C2,Protein
Q8TDJ6,DMXL2_HUMAN,DmX-like protein 2,Protein
Q09019,DMWD_HUMAN,Dystrophia myotonica WD repeat-containing protein,Protein
P51530,DNA2_HUMAN,DNA replication ATP-dependent helicase/nuclease DNA2,Protein
Q6TDU7,DNAI7_HUMAN,Dynein axonemal intermediate chain 7,Protein
Q9UI46,DNAI1_HUMAN,Dynein axonemal intermediate chain 1,Protein
Q9GZS0,DNAI2_HUMAN,Dynein axonemal intermediate chain 2,Protein
Q8IWG1,DNAI3_HUMAN,Dynein axonemal intermediate chain 3,Protein
Q5VTH9,DNAI4_HUMAN,Dynein axonemal intermediate chain 4,Protein
O96015,DNAL4_HUMAN,Dynein axonemal light chain 4,Protein
P24855,DNAS1_HUMAN,Deoxyribonuclease-1,Protein
Q4LDG9,DNAL1_HUMAN,Dynein axonemal light chain 1,Protein
Q8NFT8,DNER_HUMAN,Delta and Notch-like epidermal growth factor-related receptor,Protein
Q7Z6W7,DNJB7_HUMAN,DnaJ homolog subfamily B member 7,Protein
Q8NHS0,DNJB8_HUMAN,DnaJ homolog subfamily B member 8,Protein
O75937,DNJC8_HUMAN,DnaJ homolog subfamily C member 8,Protein
Q13217,DNJC3_HUMAN,DnaJ homolog subfamily C member 3,Protein
P25686,DNJB2_HUMAN,DnaJ homolog subfamily B member 2,Protein
P31689,DNJA1_HUMAN,DnaJ homolog subfamily A member 1,Protein
Q96M86,DNHD1_HUMAN,Dynein heavy chain domain-containing protein 1,Protein
Q8IYX4,DND1_HUMAN,Dead end protein homolog 1,Protein
Q9UBS3,DNJB9_HUMAN,DnaJ homolog subfamily B member 9,Protein
Q9NNZ3,DNJC4_HUMAN,DnaJ homolog subfamily C member 4,Protein
Q9UF47,DNJ5B_HUMAN,DnaJ homolog subfamily C member 5B,Protein
Q8WWF6,DNJB3_HUMAN,DnaJ homolog subfamily B member 3,Protein
Q8WXX5,DNJC9_HUMAN,DnaJ homolog subfamily C member 9,Protein
Q8N7S2,DNJ5G_HUMAN,DnaJ homolog subfamily C member 5G,Protein
Q9UDY4,DNJB4_HUMAN,DnaJ homolog subfamily B member 4,Protein
O60884,DNJA2_HUMAN,DnaJ homolog subfamily A member 2,Protein
Q96KC8,DNJC1_HUMAN,DnaJ homolog subfamily C member 1,Protein
Q9H3Z4,DNJC5_HUMAN,DnaJ homolog subfamily C member 5,Protein
O75953,DNJB5_HUMAN,DnaJ homolog subfamily B member 5,Protein
Q96EY1,DNJA3_HUMAN,"DnaJ homolog subfamily A member 3, mitochondrial",Protein
P49916,DNLI3_HUMAN,DNA ligase 3,Protein
Q99543,DNJC2_HUMAN,DnaJ homolog subfamily C member 2,Protein
Q99615,DNJC7_HUMAN,DnaJ homolog subfamily C member 7,Protein
O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6,Protein
P49917,DNLI4_HUMAN,DNA ligase 4,Protein
Q8WW22,DNJA4_HUMAN,DnaJ homolog subfamily A member 4,Protein
P18858,DNLI1_HUMAN,DNA ligase 1,Protein
P25685,DNJB1_HUMAN,DnaJ homolog subfamily B member 1,Protein
Q9Y6K1,DNM3A_HUMAN,DNA (cytosine-5)-methyltransferase 3A,Protein
O00115,DNS2A_HUMAN,Deoxyribonuclease-2-alpha,Protein
Q5SXM8,DNLZ_HUMAN,DNL-type zinc finger protein,Protein
Q13609,DNSL3_HUMAN,Deoxyribonuclease gamma,Protein
P26358,DNMT1_HUMAN,DNA (cytosine-5)-methyltransferase 1,Protein
Q8WZ79,DNS2B_HUMAN,Deoxyribonuclease-2-beta,Protein
O43598,DNPH1_HUMAN,5-hydroxymethyl-dUMP N-hydrolase,Protein
Q9UBC3,DNM3B_HUMAN,DNA (cytosine-5)-methyltransferase 3B,Protein
Q5JSL3,DOC11_HUMAN,Dedicator of cytokinesis protein 11,Protein
Q96HP0,DOCK6_HUMAN,Dedicator of cytokinesis protein 6,Protein
P49184,DNSL1_HUMAN,Deoxyribonuclease-1-like 1,Protein
Q14183,DOC2A_HUMAN,Double C2-like domain-containing protein alpha,Protein
Q92874,DNSL2_HUMAN,Deoxyribonuclease-1-like 2,Protein
Q9UJW3,DNM3L_HUMAN,DNA (cytosine-5)-methyltransferase 3-like,Protein
Q14184,DOC2B_HUMAN,Double C2-like domain-containing protein beta,Protein
Q96N67,DOCK7_HUMAN,Dedicator of cytokinesis protein 7,Protein
O00429,DNM1L_HUMAN,Dynamin-1-like protein,Protein
Q5T8R8,DOAS1_HUMAN,Uncharacterized protein DOCK8-AS1,Protein
Q14185,DOCK1_HUMAN,Dedicator of cytokinesis protein 1,Protein
Q8NF50,DOCK8_HUMAN,Dedicator of cytokinesis protein 8,Protein
P06340,DOA_HUMAN,"HLA class II histocompatibility antigen, DO alpha chain",Protein
Q9ULA0,DNPEP_HUMAN,Aspartyl aminopeptidase,Protein
Q6XZF7,DNMBP_HUMAN,Dynamin-binding protein,Protein
P13765,DOB_HUMAN,"HLA class II histocompatibility antigen, DO beta chain",Protein
Q92608,DOCK2_HUMAN,Dedicator of cytokinesis protein 2,Protein
Q96BY6,DOC10_HUMAN,Dedicator of cytokinesis protein 10,Protein
Q9BZ29,DOCK9_HUMAN,Dedicator of cytokinesis protein 9,Protein
Q8IZD9,DOCK3_HUMAN,Dedicator of cytokinesis protein 3,Protein
Q9P104,DOK5_HUMAN,Docking protein 5,Protein
Q9BU89,DOHH_HUMAN,Deoxyhypusine hydroxylase,Protein
Q6PKX4,DOK6_HUMAN,Docking protein 6,Protein
Q8N1I0,DOCK4_HUMAN,Dedicator of cytokinesis protein 4,Protein
Q99704,DOK1_HUMAN,Docking protein 1,Protein
P30046,DOPD_HUMAN,D-dopachrome decarboxylase,Protein
Q18PE1,DOK7_HUMAN,Protein Dok-7,Protein
Q9NYP3,DONS_HUMAN,Protein downstream neighbor of Son,Protein
Q9H7D0,DOCK5_HUMAN,Dedicator of cytokinesis protein 5,Protein
O60496,DOK2_HUMAN,Docking protein 2,Protein
Q8NEU8,DP13B_HUMAN,DCC-interacting protein 13-beta,Protein
Q5JWR5,DOP1_HUMAN,Protein dopey-1,Protein
Q7L591,DOK3_HUMAN,Docking protein 3,Protein
Q9UPQ8,DOLK_HUMAN,Dolichol kinase,Protein
P09172,DOPO_HUMAN,Dopamine beta-hydroxylase,Protein
Q1HG43,DOXA1_HUMAN,Dual oxidase maturation factor 1,Protein
Q8TEW6,DOK4_HUMAN,Docking protein 4,Protein
Q9Y3R5,DOP2_HUMAN,Protein dopey-2,Protein
A0A0U1RQF7,DP2NB_HUMAN,DPEP2 neighbor protein,Protein
Q1HG44,DOXA2_HUMAN,Dual oxidase maturation factor 2,Protein
Q8TEK3,DOT1L_HUMAN,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",Protein
Q86YN1,DOPP1_HUMAN,Dolichyldiphosphatase 1,Protein
Q86SG4,DPCA2_HUMAN,Putative Dresden prostate carcinoma protein 2,Protein
Q9UKG1,DP13A_HUMAN,DCC-interacting protein 13-alpha,Protein
P20036,DPA1_HUMAN,"HLA class II histocompatibility antigen, DP alpha 1 chain",Protein
Q9BVM2,DPCD_HUMAN,Protein DPCD,Protein
P16444,DPEP1_HUMAN,Dipeptidase 1,Protein
Q92782,DPF1_HUMAN,Zinc finger protein neuro-d4,Protein
Q9BZG8,DPH1_HUMAN,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1,Protein
Q9H4A9,DPEP2_HUMAN,Dipeptidase 2,Protein
Q9H4G8,DPH3B_HUMAN,Putative DPH3 homolog B,Protein
P04440,DPB1_HUMAN,"HLA class II histocompatibility antigen, DP beta 1 chain",Protein
Q92784,DPF3_HUMAN,Zinc finger protein DPF3,Protein
Q96FX2,DPH3_HUMAN,Diphthamide biosynthesis protein 3,Protein
Q9H4B8,DPEP3_HUMAN,Dipeptidase 3,Protein
Q9BQC3,DPH2_HUMAN,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2,Protein
Q7L8W6,DPH6_HUMAN,Diphthine--ammonia ligase,Protein
Q9P2X0,DPM3_HUMAN,Dolichol-phosphate mannosyltransferase subunit 3,Protein
O60762,DPM1_HUMAN,Dolichol-phosphate mannosyltransferase subunit 1,Protein
Q9BTV6,DPH7_HUMAN,Diphthine methyltransferase,Protein
Q9H2P9,DPH5_HUMAN,Diphthine methyl ester synthase,Protein
O94777,DPM2_HUMAN,Dolichol phosphate-mannose biosynthesis regulatory protein,Protein
Q9NR33,DPOE4_HUMAN,DNA polymerase epsilon subunit 4,Protein
Q9NP87,DPOLM_HUMAN,DNA-directed DNA/RNA polymerase mu,Protein
Q07864,DPOE1_HUMAN,DNA polymerase epsilon catalytic subunit A,Protein
Q14181,DPOA2_HUMAN,DNA polymerase alpha subunit B,Protein
P28340,DPOD1_HUMAN,DNA polymerase delta catalytic subunit,Protein
P54098,DPOG1_HUMAN,DNA polymerase subunit gamma-1,Protein
Q7Z5Q5,DPOLN_HUMAN,DNA polymerase nu,Protein
Q15054,DPOD3_HUMAN,DNA polymerase delta subunit 3,Protein
P56282,DPOE2_HUMAN,DNA polymerase epsilon subunit 2,Protein
P09884,DPOLA_HUMAN,DNA polymerase alpha catalytic subunit,Protein
Q9UHN1,DPOG2_HUMAN,DNA polymerase subunit gamma-2,Protein
Q9HCU8,DPOD4_HUMAN,DNA polymerase delta subunit 4,Protein
Q9NRF9,DPOE3_HUMAN,DNA polymerase epsilon subunit 3,Protein
O75417,DPOLQ_HUMAN,DNA polymerase theta,Protein
P49005,DPOD2_HUMAN,DNA polymerase delta subunit 2,Protein
P06746,DPOLB_HUMAN,DNA polymerase beta,Protein
Q9UGP5,DPOLL_HUMAN,DNA polymerase lambda,Protein
Q7L190,DPPA4_HUMAN,Developmental pluripotency-associated protein 4,Protein
Q9UHL4,DPP2_HUMAN,Dipeptidyl peptidase 2,Protein
A6NC42,DPPA5_HUMAN,Developmental pluripotency-associated 5 protein,Protein
Q8N608,DPP10_HUMAN,Inactive dipeptidyl peptidase 10,Protein
Q6V1X1,DPP8_HUMAN,Dipeptidyl peptidase 8,Protein
P27487,DPP4_HUMAN,Dipeptidyl peptidase 4,Protein
Q9NY33,DPP3_HUMAN,Dipeptidyl peptidase 3,Protein
Q5T2R2,DPS1_HUMAN,All trans-polyprenyl-diphosphate synthase PDSS1,Protein
P42658,DPP6_HUMAN,A-type potassium channel modulatory protein DPP6,Protein
Q86TI2,DPP9_HUMAN,Dipeptidyl peptidase 9,Protein
Q7Z7J5,DPPA2_HUMAN,Developmental pluripotency-associated protein 2,Protein
Q9C005,DPY30_HUMAN,Protein dpy-30 homolog,Protein
Q6W0C5,DPPA3_HUMAN,Developmental pluripotency-associated protein 3,Protein
Q8TB45,DPTOR_HUMAN,DEP domain-containing mTOR-interacting protein,Protein
Q14117,DPYS_HUMAN,Dihydropyrimidinase,Protein
P0CG22,DR4L1_HUMAN,Putative dehydrogenase/reductase SDR family member 4-like 1,Protein
A6NFQ7,DPRX_HUMAN,Divergent paired-related homeobox,Protein
Q6PKH6,DR4L2_HUMAN,Dehydrogenase/reductase SDR family member 4-like 2,Protein
Q6UX65,DRAM2_HUMAN,DNA damage-regulated autophagy modulator protein 2,Protein
Q16555,DPYL2_HUMAN,Dihydropyrimidinase-related protein 2,Protein
Q494R4,DRC12_HUMAN,Dynein regulatory complex protein 12,Protein
Q8NEX9,DR9C7_HUMAN,Short-chain dehydrogenase/reductase family 9C member 7,Protein
Q9H069,DRC3_HUMAN,Dynein regulatory complex subunit 3,Protein
Q8NBI3,DRAXI_HUMAN,Draxin,Protein
Q8IY82,DRC7_HUMAN,Dynein regulatory complex subunit 7,Protein
P79483,DRB3_HUMAN,"HLA class II histocompatibility antigen, DR beta 3 chain",Protein
Q12882,DPYD_HUMAN,Dihydropyrimidine dehydrogenase [NADP(+)],Protein
Q96MC2,DRC1_HUMAN,Dynein regulatory complex protein 1,Protein
P01909,DQA1_HUMAN,"HLA class II histocompatibility antigen, DQ alpha 1 chain",Protein
Q8N682,DRAM1_HUMAN,DNA damage-regulated autophagy modulator protein 1,Protein
Q14195,DPYL3_HUMAN,Dihydropyrimidinase-related protein 3,Protein
P01906,DQA2_HUMAN,"HLA class II histocompatibility antigen, DQ alpha 2 chain",Protein
P13762,DRB4_HUMAN,"HLA class II histocompatibility antigen, DR beta 4 chain",Protein
Q5VUJ9,DRC8_HUMAN,Dynein regulatory complex protein 8,Protein
O95995,DRC4_HUMAN,Dynein regulatory complex subunit 4,Protein
O14531,DPYL4_HUMAN,Dihydropyrimidinase-related protein 4,Protein
Q8IXS2,DRC2_HUMAN,Dynein regulatory complex subunit 2,Protein
P01903,DRA_HUMAN,"HLA class II histocompatibility antigen, DR alpha chain",Protein
Q14194,DPYL1_HUMAN,Dihydropyrimidinase-related protein 1,Protein
Q9H095,DRC9_HUMAN,Dynein regulatory complex protein 9,Protein
P21728,DRD1_HUMAN,D(1A) dopamine receptor,Protein
Q9BPU6,DPYL5_HUMAN,Dihydropyrimidinase-related protein 5,Protein
Q30154,DRB5_HUMAN,"HLA class II histocompatibility antigen, DR beta 5 chain",Protein
Q5JU00,DRC5_HUMAN,Dynein regulatory complex subunit 5,Protein
P01920,DQB1_HUMAN,"HLA class II histocompatibility antigen, DQ beta 1 chain",Protein
P05538,DQB2_HUMAN,"HLA class II histocompatibility antigen, DQ beta 2 chain",Protein
P35462,DRD3_HUMAN,D(3) dopamine receptor,Protein
Q96DY2,DRC10_HUMAN,Dynein regulatory complex protein 10,Protein
Q8TE96,DQX1_HUMAN,ATP-dependent RNA helicase DQX1,Protein
P01911,DRB1_HUMAN,"HLA class II histocompatibility antigen, DRB1 beta chain",Protein
Q86XH1,DRC11_HUMAN,Dynein regulatory complex protein 11,Protein
P21917,DRD4_HUMAN,D(4) dopamine receptor,Protein
P14416,DRD2_HUMAN,D(2) dopamine receptor,Protein
P21918,DRD5_HUMAN,D(1B) dopamine receptor,Protein
Q9Y295,DRG1_HUMAN,Developmentally-regulated GTP-binding protein 1,Protein
P55039,DRG2_HUMAN,Developmentally-regulated GTP-binding protein 2,Protein
A6NNA5,DRGX_HUMAN,Dorsal root ganglia homeobox protein,Protein
Q16643,DREB_HUMAN,Drebrin,Protein
Q6PGQ1,DRIC1_HUMAN,Aspartate-rich protein 1,Protein
Q6IAN0,DRS7B_HUMAN,Dehydrogenase/reductase SDR family member 7B,Protein
Q13474,DRP2_HUMAN,Dystrophin-related protein 2,Protein
C9JQL5,DSA2D_HUMAN,Putative dispanin subfamily A member 2d,Protein
A6NNS2,DRS7C_HUMAN,Dehydrogenase/reductase SDR family member 7C,Protein
Q6B8I1,DS13A_HUMAN,Dual specificity protein phosphatase 13A,Protein
Q9UII6,DS13B_HUMAN,Dual specificity protein phosphatase 13B,Protein
P59022,DSC10_HUMAN,Down syndrome critical region protein 10,Protein
Q08554,DSC1_HUMAN,Desmocollin-1,Protein
P57055,DSCR6_HUMAN,Protein ripply3,Protein
Q96T75,DSCR8_HUMAN,Down syndrome critical region protein 8,Protein
P59020,DSCR9_HUMAN,Down syndrome critical region protein 9,Protein
Q02487,DSC2_HUMAN,Desmocollin-2,Protein
O60469,DSCAM_HUMAN,Cell adhesion molecule DSCAM,Protein
Q14574,DSC3_HUMAN,Desmocollin-3,Protein
Q8IZU8,DSEL_HUMAN,Dermatan-sulfate epimerase-like protein,Protein
P55265,DSRAD_HUMAN,Double-stranded RNA-specific adenosine deaminase,Protein
Q9UL01,DSE_HUMAN,Dermatan-sulfate epimerase,Protein
Q02413,DSG1_HUMAN,Desmoglein-1,Protein
Q8TD84,DSCL1_HUMAN,Cell adhesion molecule DSCAML1,Protein
