NodeType: Protein | FullName: Amino acid transporter heavy chain SLC3A1 | EntryName: SLC31_HUMAN | ProteinId: Q07837
NodeType: Protein | FullName: Coiled-coil domain-containing protein 167 | EntryName: CC167_HUMAN | ProteinId: Q9P0B6
NodeType: Protein | FullName: Cell cycle control protein 50A | EntryName: CC50A_HUMAN | ProteinId: Q9NV96
NodeType: Protein | FullName: Coiled-coil domain-containing protein 170 | EntryName: CC170_HUMAN | ProteinId: Q8IYT3
NodeType: Protein | FullName: Coiled-coil domain-containing protein 188 | EntryName: CC188_HUMAN | ProteinId: H7C350
NodeType: Protein | FullName: Coiled-coil domain-containing protein 28B | EntryName: CC28B_HUMAN | ProteinId: Q9BUN5
NodeType: Protein | FullName: Coiled-coil domain-containing protein 179 | EntryName: CC179_HUMAN | ProteinId: H3BU77
NodeType: Protein | FullName: Coiled-coil domain-containing protein 85B | EntryName: CC85B_HUMAN | ProteinId: Q15834
NodeType: Protein | FullName: Coiled-coil domain-containing protein 150 | EntryName: CC150_HUMAN | ProteinId: Q8NCX0
NodeType: Protein | FullName: Chromobox protein homolog 5 | EntryName: CBX5_HUMAN | ProteinId: P45973
NodeType: Protein | FullName: Coiled-coil domain-containing protein 171 | EntryName: CC171_HUMAN | ProteinId: Q6TFL3
NodeType: Protein | FullName: Coiled-coil domain-containing protein 180 | EntryName: CC180_HUMAN | ProteinId: Q9P1Z9
NodeType: Protein | FullName: Coiled-coil domain-containing protein 190 | EntryName: CC190_HUMAN | ProteinId: Q86UF4
NodeType: Protein | FullName: Coiled-coil domain-containing protein 85C | EntryName: CC85C_HUMAN | ProteinId: A6NKD9
NodeType: Protein | FullName: Coiled-coil domain-containing protein 181 | EntryName: CC181_HUMAN | ProteinId: Q5TID7
NodeType: Protein | FullName: Coiled-coil domain-containing protein 191 | EntryName: CC191_HUMAN | ProteinId: Q8NCU4
NodeType: Protein | FullName: Coiled-coil domain-containing protein 172 | EntryName: CC172_HUMAN | ProteinId: P0C7W6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 192 | EntryName: CC192_HUMAN | ProteinId: P0DO97
NodeType: Protein | FullName: Cell cycle control protein 50B | EntryName: CC50B_HUMAN | ProteinId: Q3MIR4
NodeType: Protein | FullName: Coiled-coil domain-containing protein 194 | EntryName: CC194_HUMAN | ProteinId: A0A1B0GVG4
NodeType: Protein | FullName: Chromobox protein homolog 6 | EntryName: CBX6_HUMAN | ProteinId: O95503
NodeType: Protein | FullName: Coiled-coil domain-containing protein 88B | EntryName: CC88B_HUMAN | ProteinId: A6NC98
NodeType: Protein | FullName: Putative coiled-coil domain-containing protein 195 | EntryName: CC195_HUMAN | ProteinId: A0A1B0GUA6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 182 | EntryName: CC182_HUMAN | ProteinId: A6NF36
NodeType: Protein | FullName: Cell cycle and apoptosis regulator protein 2 | EntryName: CCAR2_HUMAN | ProteinId: Q8N163
NodeType: Protein | FullName: Cell cycle control protein 50C | EntryName: CC50C_HUMAN | ProteinId: A0ZSE6
NodeType: Protein | FullName: Putative coiled-coil domain-containing protein 196 | EntryName: CC196_HUMAN | ProteinId: A0A1B0GTZ2
NodeType: Protein | FullName: C-C motif chemokine 4-like | EntryName: CC4L_HUMAN | ProteinId: Q8NHW4
NodeType: Protein | FullName: Coiled-coil domain-containing protein 183 | EntryName: CC183_HUMAN | ProteinId: Q5T5S1
NodeType: Protein | FullName: Chromobox protein homolog 7 | EntryName: CBX7_HUMAN | ProteinId: O95931
NodeType: Protein | FullName: Coiled-coil domain-containing protein 174 | EntryName: CC174_HUMAN | ProteinId: Q6PII3
NodeType: Protein | FullName: Coiled-coil domain-containing protein 90B, mitochondrial | EntryName: CC90B_HUMAN | ProteinId: Q9GZT6
NodeType: Protein | FullName: Uncharacterized protein CCDC197 | EntryName: CC197_HUMAN | ProteinId: Q8NCU1
NodeType: Protein | FullName: Coiled-coil domain-containing protein 184 | EntryName: CC184_HUMAN | ProteinId: Q52MB2
NodeType: Protein | FullName: Coiled-coil domain-containing 92B | EntryName: CC92B_HUMAN | ProteinId: A0A8I5KY20
NodeType: Protein | FullName: Coiled-coil domain-containing protein 175 | EntryName: CC175_HUMAN | ProteinId: P0C221
NodeType: Protein | FullName: Coiled-coil domain-containing protein 71L | EntryName: CC71L_HUMAN | ProteinId: Q8N9Z2
NodeType: Protein | FullName: Coiled-coil domain-containing protein 74A | EntryName: CC74A_HUMAN | ProteinId: Q96AQ1
NodeType: Protein | FullName: Coiled-coil domain-containing protein 74B | EntryName: CC74B_HUMAN | ProteinId: Q96LY2
NodeType: Protein | FullName: Coiled-coil domain-containing protein 85A | EntryName: CC85A_HUMAN | ProteinId: Q96PX6
NodeType: Protein | FullName: Cell division cycle and apoptosis regulator protein 1 | EntryName: CCAR1_HUMAN | ProteinId: Q8IX12
NodeType: Protein | FullName: Putative chemokine-related protein B42 | EntryName: CCB42_HUMAN | ProteinId: Q1T7F1
NodeType: Protein | FullName: Collagen and calcium-binding EGF domain-containing protein 1 | EntryName: CCBE1_HUMAN | ProteinId: Q6UXH8
NodeType: Protein | FullName: Coiled-coil domain-containing protein 30 | EntryName: CCD30_HUMAN | ProteinId: Q5VVM6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 22 | EntryName: CCD22_HUMAN | ProteinId: O60826
NodeType: Protein | FullName: Coiled-coil domain-containing protein 12 | EntryName: CCD12_HUMAN | ProteinId: Q8WUD4
NodeType: Protein | FullName: Coiled-coil domain-containing protein 43 | EntryName: CCD43_HUMAN | ProteinId: Q96MW1
NodeType: Protein | FullName: Coiled-coil domain-containing protein 39 | EntryName: CCD39_HUMAN | ProteinId: Q9UFE4
NodeType: Protein | FullName: Coiled-coil domain-containing protein 13 | EntryName: CCD13_HUMAN | ProteinId: Q8IYE1
NodeType: Protein | FullName: Coiled-coil domain-containing protein 24 | EntryName: CCD24_HUMAN | ProteinId: Q8N4L8
NodeType: Protein | FullName: Coiled-coil domain-containing protein 32 | EntryName: CCD32_HUMAN | ProteinId: Q9BV29
NodeType: Protein | FullName: Coiled-coil domain-containing protein 62 | EntryName: CCD62_HUMAN | ProteinId: Q6P9F0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 54 | EntryName: CCD54_HUMAN | ProteinId: Q8NEL0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 70 | EntryName: CCD70_HUMAN | ProteinId: Q6NSX1
NodeType: Protein | FullName: Coiled-coil domain-containing protein 57 | EntryName: CCD57_HUMAN | ProteinId: Q2TAC2
NodeType: Protein | FullName: Coiled-coil domain-containing protein 14 | EntryName: CCD14_HUMAN | ProteinId: Q49A88
NodeType: Protein | FullName: PAT complex subunit CCDC47 | EntryName: CCD47_HUMAN | ProteinId: Q96A33
NodeType: Protein | FullName: Coiled-coil domain-containing protein 80 | EntryName: CCD80_HUMAN | ProteinId: Q76M96
NodeType: Protein | FullName: Coiled-coil domain-containing protein 71 | EntryName: CCD71_HUMAN | ProteinId: Q8IV32
NodeType: Protein | FullName: Coiled-coil domain-containing protein 40 | EntryName: CCD40_HUMAN | ProteinId: Q4G0X9
NodeType: Protein | FullName: Coiled-coil domain-containing protein 25 | EntryName: CCD25_HUMAN | ProteinId: Q86WR0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 60 | EntryName: CCD60_HUMAN | ProteinId: Q8IWA6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 63 | EntryName: CCD63_HUMAN | ProteinId: Q8NA47
NodeType: Protein | FullName: Coiled-coil domain-containing protein 33 | EntryName: CCD33_HUMAN | ProteinId: Q8N5R6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 15 | EntryName: CCD15_HUMAN | ProteinId: Q0P6D6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 89 | EntryName: CCD89_HUMAN | ProteinId: Q8N998
NodeType: Protein | FullName: Coiled-coil domain-containing protein 73 | EntryName: CCD73_HUMAN | ProteinId: Q6ZRK6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 27 | EntryName: CCD27_HUMAN | ProteinId: Q2M243
NodeType: Protein | FullName: Coiled-coil domain-containing protein 81 | EntryName: CCD81_HUMAN | ProteinId: Q6ZN84
NodeType: Protein | FullName: Coiled-coil domain-containing protein 17 | EntryName: CCD17_HUMAN | ProteinId: Q96LX7
NodeType: Protein | FullName: Coiled-coil domain-containing protein 77 | EntryName: CCD77_HUMAN | ProteinId: Q9BR77
NodeType: Protein | FullName: Coiled-coil domain-containing protein 34 | EntryName: CCD34_HUMAN | ProteinId: Q96HJ3
NodeType: Protein | FullName: Coiled-coil domain-containing protein 42 | EntryName: CCD42_HUMAN | ProteinId: Q96M95
NodeType: Protein | FullName: Coiled-coil domain-containing protein 66 | EntryName: CCD66_HUMAN | ProteinId: A2RUB6
NodeType: Protein | FullName: Coiled-coil domain-containing protein 18 | EntryName: CCD18_HUMAN | ProteinId: Q5T9S5
NodeType: Protein | FullName: Coiled-coil domain-containing protein 82 | EntryName: CCD82_HUMAN | ProteinId: Q8N4S0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 38 | EntryName: CCD38_HUMAN | ProteinId: Q502W7
NodeType: Protein | FullName: Coiled-coil domain-containing protein 50 | EntryName: CCD50_HUMAN | ProteinId: Q8IVM0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 78 | EntryName: CCD78_HUMAN | ProteinId: A2IDD5
NodeType: Protein | FullName: Coiled-coil domain-containing protein 97 | EntryName: CCD97_HUMAN | ProteinId: Q96F63
NodeType: Protein | FullName: Centrosomal protein CCDC61 | EntryName: CCD61_HUMAN | ProteinId: Q9Y6R9
NodeType: Protein | FullName: Coiled-coil domain-containing protein 83 | EntryName: CCD83_HUMAN | ProteinId: Q8IWF9
NodeType: Protein | FullName: Coiled-coil domain-containing protein 68 | EntryName: CCD68_HUMAN | ProteinId: Q9H2F9
NodeType: Protein | FullName: Coiled-coil domain-containing protein 91 | EntryName: CCD91_HUMAN | ProteinId: Q7Z6B0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 9 | EntryName: CCDC9_HUMAN | ProteinId: Q9Y3X0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 9B | EntryName: CCD9B_HUMAN | ProteinId: Q6ZUT6
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-5 subunit | EntryName: CCG5_HUMAN | ProteinId: Q9UF02
NodeType: Protein | FullName: Coiled-coil domain-containing protein 69 | EntryName: CCD69_HUMAN | ProteinId: A6NI79
NodeType: Protein | FullName: Coiled-coil domain-containing protein 3 | EntryName: CCDC3_HUMAN | ProteinId: Q9BQI4
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-1 subunit | EntryName: CCG1_HUMAN | ProteinId: Q06432
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-6 subunit | EntryName: CCG6_HUMAN | ProteinId: Q9BXT2
NodeType: Protein | FullName: Coiled-coil domain-containing protein 92 | EntryName: CCD92_HUMAN | ProteinId: Q53HC0
NodeType: Protein | FullName: Coiled-coil domain-containing protein 86 | EntryName: CCD86_HUMAN | ProteinId: Q9H6F5
NodeType: Protein | FullName: Coiled-coil domain-containing protein 6 | EntryName: CCDC6_HUMAN | ProteinId: Q16204
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-7 subunit | EntryName: CCG7_HUMAN | ProteinId: P62955
NodeType: Protein | FullName: Holocytochrome c-type synthase | EntryName: CCHL_HUMAN | ProteinId: P53701
NodeType: Protein | FullName: Coiled-coil domain-containing protein 93 | EntryName: CCD93_HUMAN | ProteinId: Q567U6
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-2 subunit | EntryName: CCG2_HUMAN | ProteinId: Q9Y698
NodeType: Protein | FullName: Coiled-coil domain-containing glutamate-rich protein 1 | EntryName: CCER1_HUMAN | ProteinId: Q8TC90
NodeType: Protein | FullName: Coiled-coil domain-containing protein 7 | EntryName: CCDC7_HUMAN | ProteinId: Q96M83
NodeType: Protein | FullName: Coiled-coil domain-containing protein 87 | EntryName: CCD87_HUMAN | ProteinId: Q9NVE4
NodeType: Protein | FullName: Eotaxin | EntryName: CCL11_HUMAN | ProteinId: P51671
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-8 subunit | EntryName: CCG8_HUMAN | ProteinId: Q8WXS5
NodeType: Protein | FullName: Coiled-coil domain-containing glutamate-rich protein 2 | EntryName: CCER2_HUMAN | ProteinId: I3L3R5
NodeType: Protein | FullName: Cholecystokinin | EntryName: CCKN_HUMAN | ProteinId: P06307
NodeType: Protein | FullName: Coiled-coil domain-containing protein 8 | EntryName: CCDC8_HUMAN | ProteinId: Q9H0W5
NodeType: Protein | FullName: Cyclin-D1-binding protein 1 | EntryName: CCDB1_HUMAN | ProteinId: O95273
NodeType: Protein | FullName: Coiled-coil alpha-helical rod protein 1 | EntryName: CCHCR_HUMAN | ProteinId: Q8TD31
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-3 subunit | EntryName: CCG3_HUMAN | ProteinId: O60359
NodeType: Protein | FullName: C-C motif chemokine 18 | EntryName: CCL18_HUMAN | ProteinId: P55774
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-like subunit | EntryName: CCGL_HUMAN | ProteinId: Q8WXS4
NodeType: Protein | FullName: C-C motif chemokine 24 | EntryName: CCL24_HUMAN | ProteinId: O00175
NodeType: Protein | FullName: Cholecystokinin receptor type A | EntryName: CCKAR_HUMAN | ProteinId: P32238
NodeType: Protein | FullName: C-C motif chemokine 19 | EntryName: CCL19_HUMAN | ProteinId: Q99731
NodeType: Protein | FullName: C-C motif chemokine 25 | EntryName: CCL25_HUMAN | ProteinId: O15444
NodeType: Protein | FullName: C-C motif chemokine 1 | EntryName: CCL1_HUMAN | ProteinId: P22362
NodeType: Protein | FullName: C-C motif chemokine 7 | EntryName: CCL7_HUMAN | ProteinId: P80098
NodeType: Protein | FullName: Voltage-dependent calcium channel gamma-4 subunit | EntryName: CCG4_HUMAN | ProteinId: Q9UBN1
NodeType: Protein | FullName: C-C motif chemokine 13 | EntryName: CCL13_HUMAN | ProteinId: Q99616
NodeType: Protein | FullName: C-C motif chemokine 5 | EntryName: CCL5_HUMAN | ProteinId: P13501
NodeType: Protein | FullName: C-C motif chemokine 3 | EntryName: CCL3_HUMAN | ProteinId: P10147
NodeType: Protein | FullName: C-C motif chemokine 26 | EntryName: CCL26_HUMAN | ProteinId: Q9Y258
NodeType: Protein | FullName: Cerebral cavernous malformations 2 protein-like | EntryName: CCM2L_HUMAN | ProteinId: Q9NUG4
NodeType: Protein | FullName: C-C motif chemokine 8 | EntryName: CCL8_HUMAN | ProteinId: P80075
NodeType: Protein | FullName: C-C motif chemokine 20 | EntryName: CCL20_HUMAN | ProteinId: P78556
NodeType: Protein | FullName: C-C motif chemokine 27 | EntryName: CCL27_HUMAN | ProteinId: Q9Y4X3
NodeType: Protein | FullName: C-C motif chemokine 14 | EntryName: CCL14_HUMAN | ProteinId: Q16627
NodeType: Protein | FullName: C-C motif chemokine 15 | EntryName: CCL15_HUMAN | ProteinId: Q16663
NodeType: Protein | FullName: C-C motif chemokine 28 | EntryName: CCL28_HUMAN | ProteinId: Q9NRJ3
NodeType: Protein | FullName: Cerebral cavernous malformations 2 protein | EntryName: CCM2_HUMAN | ProteinId: Q9BSQ5
NodeType: Protein | FullName: C-C motif chemokine 16 | EntryName: CCL16_HUMAN | ProteinId: O15467
NodeType: Protein | FullName: C-C motif chemokine 21 | EntryName: CCL21_HUMAN | ProteinId: O00585
NodeType: Protein | FullName: C-C motif chemokine 4 | EntryName: CCL4_HUMAN | ProteinId: P13236
NodeType: Protein | FullName: C-C motif chemokine 22 | EntryName: CCL22_HUMAN | ProteinId: O00626
NodeType: Protein | FullName: C-C motif chemokine 17 | EntryName: CCL17_HUMAN | ProteinId: Q92583
NodeType: Protein | FullName: C-C motif chemokine 23 | EntryName: CCL23_HUMAN | ProteinId: P55773
NodeType: Protein | FullName: C-C motif chemokine 2 | EntryName: CCL2_HUMAN | ProteinId: P13500
NodeType: Protein | FullName: CCN family member 3 | EntryName: CCN3_HUMAN | ProteinId: P48745
NodeType: Protein | FullName: Cyclin-A2 | EntryName: CCNA2_HUMAN | ProteinId: P20248
NodeType: Protein | FullName: CCN family member 4 | EntryName: CCN4_HUMAN | ProteinId: O95388
NodeType: Protein | FullName: CCN family member 1 | EntryName: CCN1_HUMAN | ProteinId: O00622
NodeType: Protein | FullName: G2/mitotic-specific cyclin-B3 | EntryName: CCNB3_HUMAN | ProteinId: Q8WWL7
NodeType: Protein | FullName: G2/mitotic-specific cyclin-B2 | EntryName: CCNB2_HUMAN | ProteinId: O95067
NodeType: Protein | FullName: CCN family member 5 | EntryName: CCN5_HUMAN | ProteinId: O76076
NodeType: Protein | FullName: Cyclin-C | EntryName: CCNC_HUMAN | ProteinId: P24863
NodeType: Protein | FullName: G1/S-specific cyclin-E2 | EntryName: CCNE2_HUMAN | ProteinId: O96020
NodeType: Protein | FullName: Cyclin-G2 | EntryName: CCNG2_HUMAN | ProteinId: Q16589
NodeType: Protein | FullName: G1/S-specific cyclin-D2 | EntryName: CCND2_HUMAN | ProteinId: P30279
NodeType: Protein | FullName: Cyclin-P | EntryName: CCNP_HUMAN | ProteinId: Q9H8S5
NodeType: Protein | FullName: CCN family member 2 | EntryName: CCN2_HUMAN | ProteinId: P29279
NodeType: Protein | FullName: Cellular communication network factor 6 | EntryName: CCN6_HUMAN | ProteinId: O95389
NodeType: Protein | FullName: Cyclin-Q | EntryName: CCNQ_HUMAN | ProteinId: Q8N1B3
NodeType: Protein | FullName: Cyclin-K | EntryName: CCNK_HUMAN | ProteinId: O75909
NodeType: Protein | FullName: G2/mitotic-specific cyclin-B1 | EntryName: CCNB1_HUMAN | ProteinId: P14635
NodeType: Protein | FullName: Cyclin-H | EntryName: CCNH_HUMAN | ProteinId: P51946
NodeType: Protein | FullName: Cyclin-A1 | EntryName: CCNA1_HUMAN | ProteinId: P78396
NodeType: Protein | FullName: G1/S-specific cyclin-D3 | EntryName: CCND3_HUMAN | ProteinId: P30281
NodeType: Protein | FullName: G1/S-specific cyclin-D1 | EntryName: CCND1_HUMAN | ProteinId: P24385
NodeType: Protein | FullName: Cyclin-I2 | EntryName: CCNI2_HUMAN | ProteinId: Q6ZMN8
NodeType: Protein | FullName: Cyclin-F | EntryName: CCNF_HUMAN | ProteinId: P41002
NodeType: Protein | FullName: Cyclin-L1 | EntryName: CCNL1_HUMAN | ProteinId: Q9UK58
NodeType: Protein | FullName: Cyclin-T1 | EntryName: CCNT1_HUMAN | ProteinId: O60563
NodeType: Protein | FullName: Cyclin-I | EntryName: CCNI_HUMAN | ProteinId: Q14094
NodeType: Protein | FullName: Cyclin-J-like protein | EntryName: CCNJL_HUMAN | ProteinId: Q8IV13
NodeType: Protein | FullName: Cell cycle progression protein 1 | EntryName: CCPG1_HUMAN | ProteinId: Q9ULG6
NodeType: Protein | FullName: G1/S-specific cyclin-E1 | EntryName: CCNE1_HUMAN | ProteinId: P24864
NodeType: Protein | FullName: Cyclin-J | EntryName: CCNJ_HUMAN | ProteinId: Q5T5M9
NodeType: Protein | FullName: Cyclin-G1 | EntryName: CCNG1_HUMAN | ProteinId: P51959
NodeType: Protein | FullName: C-C chemokine receptor type 2 | EntryName: CCR2_HUMAN | ProteinId: P41597
NodeType: Protein | FullName: Cyclin-L2 | EntryName: CCNL2_HUMAN | ProteinId: Q96S94
NodeType: Protein | FullName: Cyclin-T2 | EntryName: CCNT2_HUMAN | ProteinId: O60583
NodeType: Protein | FullName: C-C chemokine receptor type 6 | EntryName: CCR6_HUMAN | ProteinId: P51684
NodeType: Protein | FullName: C-C chemokine receptor type 10 | EntryName: CCR10_HUMAN | ProteinId: P46092
NodeType: Protein | FullName: Cyclin-O | EntryName: CCNO_HUMAN | ProteinId: P22674
NodeType: Protein | FullName: C-C chemokine receptor type 7 | EntryName: CCR7_HUMAN | ProteinId: P32248
NodeType: Protein | FullName: C-C chemokine receptor type 5 | EntryName: CCR5_HUMAN | ProteinId: P51681
NodeType: Protein | FullName: C-C chemokine receptor type 3 | EntryName: CCR3_HUMAN | ProteinId: P51677
NodeType: Protein | FullName: Cyclin-Y | EntryName: CCNY_HUMAN | ProteinId: Q8ND76
NodeType: Protein | FullName: C-C chemokine receptor type 8 | EntryName: CCR8_HUMAN | ProteinId: P51685
NodeType: Protein | FullName: C-C chemokine receptor type 1 | EntryName: CCR1_HUMAN | ProteinId: P32246
NodeType: Protein | FullName: C-C chemokine receptor type 9 | EntryName: CCR9_HUMAN | ProteinId: P51686
NodeType: Protein | FullName: C-C chemokine receptor type 4 | EntryName: CCR4_HUMAN | ProteinId: P51679
NodeType: Protein | FullName: C-C chemokine receptor-like 2 | EntryName: CCRL2_HUMAN | ProteinId: O00421
NodeType: Protein | FullName: Centriole, cilia and spindle-associated protein | EntryName: CCSAP_HUMAN | ProteinId: Q6IQ19
NodeType: Protein | FullName: Serine-rich coiled-coil domain-containing protein 2 | EntryName: CCSE2_HUMAN | ProteinId: Q9H7U1
NodeType: Protein | FullName: Uncharacterized protein C4orf36 | EntryName: CD036_HUMAN | ProteinId: Q96KX1
NodeType: Protein | FullName: Cyclin-Y-like protein 1 | EntryName: CCYL1_HUMAN | ProteinId: Q8N7R7
NodeType: Protein | FullName: Serine-rich coiled-coil domain-containing protein 1 | EntryName: CCSE1_HUMAN | ProteinId: Q9C0I3
NodeType: Protein | FullName: Renal cancer differentiation gene 1 protein | EntryName: CD046_HUMAN | ProteinId: Q504U0
NodeType: Protein | FullName: Cyclin-Y-like protein 2 | EntryName: CCYL2_HUMAN | ProteinId: Q5T2Q4
NodeType: Protein | FullName: Uncharacterized protein C4orf50 | EntryName: CD050_HUMAN | ProteinId: Q6ZRC1
NodeType: Protein | FullName: Putative cyclin-Y-like protein 3 | EntryName: CCYL3_HUMAN | ProteinId: P0C7X3
NodeType: Protein | FullName: Uncharacterized protein C4orf3 | EntryName: CD003_HUMAN | ProteinId: Q8WVX3
NodeType: Protein | FullName: Uncharacterized protein C4orf51 | EntryName: CD051_HUMAN | ProteinId: C9J302
NodeType: Protein | FullName: Coiled-coil domain-containing protein 158 | EntryName: CD158_HUMAN | ProteinId: Q5M9N0
NodeType: Protein | FullName: Copper chaperone for superoxide dismutase | EntryName: CCS_HUMAN | ProteinId: O14618
NodeType: Protein | FullName: B-lymphocyte antigen CD19 | EntryName: CD19_HUMAN | ProteinId: P15391
NodeType: Protein | FullName: Uncharacterized protein encoded by LINC01587 | EntryName: CD006_HUMAN | ProteinId: Q99440
NodeType: Protein | FullName: Uncharacterized protein C4orf54 | EntryName: CD054_HUMAN | ProteinId: D6RIA3
NodeType: Protein | FullName: Putative uncharacterized protein encoded by LINC00575 | EntryName: CD011_HUMAN | ProteinId: Q6W349
NodeType: Protein | FullName: Vacuolar fusion protein CCZ1 homolog B | EntryName: CCZ1B_HUMAN | ProteinId: P86790
NodeType: Protein | FullName: CMT1A duplicated region transcript 15 protein-like protein | EntryName: CD15L_HUMAN | ProteinId: A8MXV6
NodeType: Protein | FullName: Uncharacterized protein C4orf17 | EntryName: CD017_HUMAN | ProteinId: Q53FE4
NodeType: Protein | FullName: Uncharacterized protein C4orf19 | EntryName: CD019_HUMAN | ProteinId: Q8IY42
NodeType: Protein | FullName: T-cell surface glycoprotein CD1a | EntryName: CD1A_HUMAN | ProteinId: P06126
NodeType: Protein | FullName: CD109 antigen | EntryName: CD109_HUMAN | ProteinId: Q6YHK3
NodeType: Protein | FullName: Translation initiation factor eIF2 assembly protein | EntryName: CD123_HUMAN | ProteinId: O75794
NodeType: Protein | FullName: UPF0462 protein C4orf33 | EntryName: CD033_HUMAN | ProteinId: Q8N1A6
NodeType: Protein | FullName: Vacuolar fusion protein CCZ1 homolog | EntryName: CCZ1_HUMAN | ProteinId: P86791
NodeType: Protein | FullName: Antigen-presenting glycoprotein CD1d | EntryName: CD1D_HUMAN | ProteinId: P15813
NodeType: Protein | FullName: Cell division cycle protein 20 homolog B | EntryName: CD20B_HUMAN | ProteinId: Q86Y33
NodeType: Protein | FullName: Monocyte differentiation antigen CD14 | EntryName: CD14_HUMAN | ProteinId: P08571
NodeType: Protein | FullName: CD166 antigen | EntryName: CD166_HUMAN | ProteinId: Q13740
NodeType: Protein | FullName: Cyclin-dependent kinase 11A | EntryName: CD11A_HUMAN | ProteinId: Q9UQ88
NodeType: Protein | FullName: Signal transducer CD24 | EntryName: CD24_HUMAN | ProteinId: P25063
NodeType: Protein | FullName: T-cell surface glycoprotein CD1b | EntryName: CD1B_HUMAN | ProteinId: P29016
NodeType: Protein | FullName: Leukocyte antigen CD37 | EntryName: CD37_HUMAN | ProteinId: P11049
NodeType: Protein | FullName: B-lymphocyte antigen CD20 | EntryName: CD20_HUMAN | ProteinId: P11836
NodeType: Protein | FullName: CD320 antigen | EntryName: CD320_HUMAN | ProteinId: Q9NPF0
NodeType: Protein | FullName: CD2 antigen cytoplasmic tail-binding protein 2 | EntryName: CD2B2_HUMAN | ProteinId: O95400
NodeType: Protein | FullName: CD276 antigen | EntryName: CD276_HUMAN | ProteinId: Q5ZPR3
NodeType: Protein | FullName: T-cell surface glycoprotein CD1e, membrane-associated | EntryName: CD1E_HUMAN | ProteinId: P15812
NodeType: Protein | FullName: Cyclin-dependent kinase 11B | EntryName: CD11B_HUMAN | ProteinId: P21127
NodeType: Protein | FullName: T-cell surface glycoprotein CD1c | EntryName: CD1C_HUMAN | ProteinId: P29017
NodeType: Protein | FullName: CD226 antigen | EntryName: CD226_HUMAN | ProteinId: Q15762
NodeType: Protein | FullName: ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 | EntryName: CD38_HUMAN | ProteinId: P28907
NodeType: Protein | FullName: CD151 antigen | EntryName: CD151_HUMAN | ProteinId: P48509
NodeType: Protein | FullName: CD177 antigen | EntryName: CD177_HUMAN | ProteinId: Q8N6Q3
NodeType: Protein | FullName: Myeloid cell surface antigen CD33 | EntryName: CD33_HUMAN | ProteinId: P20138
NodeType: Protein | FullName: B-cell receptor CD22 | EntryName: CD22_HUMAN | ProteinId: P20273
NodeType: Protein | FullName: Protein CD300H | EntryName: CD3CH_HUMAN | ProteinId: A0A0K2S4Q6
NodeType: Protein | FullName: CD180 antigen | EntryName: CD180_HUMAN | ProteinId: Q99467
NodeType: Protein | FullName: CD27 antigen | EntryName: CD27_HUMAN | ProteinId: P26842
NodeType: Protein | FullName: T-cell surface glycoprotein CD3 epsilon chain | EntryName: CD3E_HUMAN | ProteinId: P07766
NodeType: Protein | FullName: Hematopoietic progenitor cell antigen CD34 | EntryName: CD34_HUMAN | ProteinId: P28906
NodeType: Protein | FullName: T-cell surface antigen CD2 | EntryName: CD2_HUMAN | ProteinId: P06729
NodeType: Protein | FullName: T-cell surface glycoprotein CD3 delta chain | EntryName: CD3D_HUMAN | ProteinId: P04234
NodeType: Protein | FullName: CD209 antigen | EntryName: CD209_HUMAN | ProteinId: Q9NNX6
NodeType: Protein | FullName: Leukocyte surface antigen CD47 | EntryName: CD47_HUMAN | ProteinId: Q08722
NodeType: Protein | FullName: CD40 ligand | EntryName: CD40L_HUMAN | ProteinId: P29965
NodeType: Protein | FullName: T-cell-specific surface glycoprotein CD28 | EntryName: CD28_HUMAN | ProteinId: P10747
NodeType: Protein | FullName: T-cell surface glycoprotein CD3 gamma chain | EntryName: CD3G_HUMAN | ProteinId: P09693
NodeType: Protein | FullName: Platelet glycoprotein 4 | EntryName: CD36_HUMAN | ProteinId: P16671
NodeType: Protein | FullName: CD302 antigen | EntryName: CD302_HUMAN | ProteinId: Q8IX05
NodeType: Protein | FullName: Natural killer cell receptor 2B4 | EntryName: CD244_HUMAN | ProteinId: Q9BZW8
